Layer,Model,Description
Physics of Reality,Thermodynamics & Entropy,Disorder in closed systems increases over time; maintaining structure requires ongoing energy input.
Physics of Reality,Activation Energy,Minimum energy needed to start a reaction or change; catalysts lower this barrier.
Physics of Reality,Critical Mass,Threshold quantity where a process becomes self-sustaining and hard to stop.
Physics of Reality,Inertia,Tendency of objects (and organizations) to resist changes in motion or state.
Physics of Reality,Leverage,Using a small input at the right point (fulcrum) to move a much larger load.
Physics of Reality,Half-Life,Time required for a quantity to decay to half its initial value.
Physics of Reality,Heisenberg Uncertainty / Observer Effect,Measurement unavoidably disturbs the system being measured.
Physics of Reality,Impedance Mismatch,Losses when the output of one system is poorly matched to the input of another.
Physics of Reality,Tolerance Stacking,Small deviations in many parts add up to large overall error or failure.
Physics of Reality,Signal-to-Noise Ratio,Ratio of meaningful signal to background noise; determines clarity of information.
Physics of Reality,Le Chatelier’s Principle,Systems at equilibrium shift to counteract imposed changes and re-balance.
Physics of Reality,Simulated Annealing,Search strategy that starts with randomness and gradually cools to lock in a good solution.
Physics of Reality,Metastability,State that appears stable but can collapse suddenly with a small shock.
Physics of Reality,Stress-Strain Curve,Relationship between applied load and deformation; shows elastic vs plastic (permanent) damage.
Physics of Reality,Single Point of Failure,Component whose failure brings down the entire system or process.
Physics of Reality,Constructal Law,"Flow systems evolve to provide easier access to movement (of people, goods, information)."
Physics of Reality,Square-Cube Law,"As size scales up, volume grows faster than surface area, changing constraints and behavior."
Physics of Reality,Chvorinov’s Rule,Chunkier castings or projects cool/solidify more slowly than thin ones.
Physics of Reality,Friction vs Viscosity,Resistance between surfaces vs resistance to flow within a medium or process.
Physics of Reality,Velocity vs Speed,"Speed is magnitude only; velocity includes direction, so fast in the wrong direction is negative progress."
Physics of Reality,Relativity,No single absolute reference frame; behavior is understood relative to the observer’s frame.
Physics of Reality,Maxwell’s Demon,Information processing itself is work and has thermodynamic cost.
Physics of Reality,Phase Transition,Abrupt change in system state once a critical parameter crosses a threshold.
Physics of Reality,Catalyst,Agent that accelerates change or reaction without being consumed.
Physics of Reality,Buffer Capacity,Ability of a system to absorb disturbance without large changes in state.
Physics of Reality,Chirality,Asymmetry where mirror images are not superimposable; directionality matters in design and systems.
Biology of Life,Natural Selection,Traits that improve fitness spread over generations; selection is blind and ruthless.
Biology of Life,Red Queen Effect,You must keep improving just to maintain your relative position.
Biology of Life,Trophic Cascades,Changes at the top of a food chain ripple down to reshape the whole ecosystem.
Biology of Life,Niche Construction,Organisms (or firms) modify their environment to better suit themselves.
Biology of Life,Exaptation,Trait evolved for one function is repurposed for another.
Biology of Life,Punctuated Equilibrium,Long periods of little change punctuated by sudden evolutionary jumps.
Biology of Life,Muller’s Ratchet,Errors accumulate in systems without recombination or reset until collapse.
Biology of Life,Shifting Baseline Syndrome,Each generation accepts a degraded state as the new normal.
Biology of Life,r/K Selection Theory,"Trade-off between many fast, low-investment offspring vs few slow, high-investment ones."
Biology of Life,Allee Effect,"Below a critical population size, group viability collapses."
Biology of Life,Competitive Exclusion,Two species cannot occupy the exact same niche indefinitely.
Biology of Life,Ecological Succession,"Ecosystems move from pioneer species to mature, stable communities."
Biology of Life,Semelparity vs Iteroparity,One big-bang reproductive event vs repeated cycles over time.
Biology of Life,Kleiber’s Law,Metabolic rate scales to body mass to the 3/4 power; bigger systems can be more efficient per unit.
Biology of Life,Fisherian Runaway,Runaway selection for exaggerated traits driven by mate preference.
Biology of Life,Island Rule (Foster’s Rule),Isolation drives small species to become larger and large species to become smaller.
Biology of Life,Liebig’s Law of the Minimum,"Growth is limited by the scarcest resource, not total resources."
Biology of Life,Hormesis,Low doses of stress or toxins can strengthen a system.
Biology of Life,Stigmergy,Agents coordinate indirectly via traces left in the environment.
Biology of Life,Edge Effect,Diversity and activity peak at the boundaries of ecosystems or domains.
Biology of Life,Superstimulus,Artificially exaggerated stimuli that hijack innate reward systems.
Biology of Life,Thigmotaxis,Instinct to hug walls or boundaries under uncertainty or fear.
Biology of Life,Convergent Evolution,Unrelated lineages evolve similar traits under similar pressures.
Biology of Life,Handicap Principle,Costly handicaps signal underlying strength or quality.
Biology of Life,Matthew Effect,Initial advantages compound so the “rich get richer.”
Biology of Life,Mimicry,One organism imitates another to gain protection or advantage.
Biology of Life,Founder Effect,Small founding populations create path-dependent genetic and cultural trajectories.
Biology of Life,Parasitism vs Symbiosis,Exploitative vs mutually beneficial relationships between organisms or actors.
Architecture of Systems,Feedback Loops,Reinforcing loops amplify change; balancing loops resist it.
Architecture of Systems,Cynefin Framework,"Categorizes contexts as simple, complicated, complex, or chaotic to choose action."
Architecture of Systems,Ashby’s Law of Requisite Variety,Controller must have at least as much behavioral variety as the system controlled.
Architecture of Systems,Good Regulator Theorem,Every effective regulator embodies a model of the system it regulates.
Architecture of Systems,POSIWID,"The purpose of a system is what it actually does, not what it claims."
Architecture of Systems,Gall’s Law,Complex systems that work evolve from simpler systems that worked.
Architecture of Systems,Hysteresis,System response depends on its history; reversing change takes extra effort.
Architecture of Systems,Network Effects,Value of a network grows nonlinearly as more nodes join.
Architecture of Systems,Preferential Attachment,New nodes attach disproportionately to already well-connected hubs.
Architecture of Systems,Small World Phenomenon,Most nodes are connected through surprisingly short paths.
Architecture of Systems,Percolation Theory,Connectivity jumps sharply once a critical link density is reached.
Architecture of Systems,Bullwhip Effect,Small demand changes downstream create large swings upstream.
Architecture of Systems,Autopoiesis,System capable of reproducing and maintaining itself.
Architecture of Systems,Edge of Chaos,Transition zone between order and randomness where innovation flourishes.
Architecture of Systems,Structural Holes,Gaps between network clusters where brokers can create value.
Architecture of Systems,Braess’s Paradox,Adding capacity to a network can reduce overall performance.
Architecture of Systems,Oscillation,Systems with delayed feedback tend to overshoot and cycle.
Architecture of Systems,Graceful Degradation,System continues partially functioning when components fail.
Architecture of Systems,Critical Path,Sequence of tasks that determines minimum project duration.
Architecture of Systems,Byzantine Generals Problem,How to reach agreement when some actors may be malicious.
Architecture of Systems,Sybil Attack,Attack that forges many identities to undermine reputation systems.
Architecture of Systems,Ergodicity,Difference between ensemble averages and time averages; ruin risks break naive expectations.
Architecture of Systems,Autocatalysis,"Outputs that catalyze their own production, reinforcing growth."
